file_name,flash_usage,ram_usage,memory_usage,encryption_time,encryption_voltage,encryption_current,encryption_power,decryption_time,decryption_voltage,decryption_current,decryption_power
aes128rfid_16,16612,1021,1058,712,4.2,7.2,0.03024,1244,4.2,7.2,0.03024
aes128rfid_32,16682,1053,1090,1288,4.2,7.1,0.02982,2332,4.2,7.3,0.030660000000000003
aes128rfid_48,16708,1085,1124,1864,4.2,7.2,0.03024,3432,4.2,7.3,0.030660000000000003
aes128rfid_64,16748,1117,1156,2440,4.2,7.1,0.02982,4532,4.2,7.1,0.02982
aes128rfid_80,16748,1149,1188,3016,4.2,7.0,0.029400000000000003,5620,4.2,7.2,0.03024
aes128rfid_96,16748,1181,1220,3584,4.2,7.0,0.029400000000000003,6724,4.2,7.1,0.02982
aes128rfid_112,16804,1213,1252,4160,4.2,7.1,0.02982,7816,4.2,7.0,0.029400000000000003
aes128rfid_128,16838,1245,1284,4728,4.2,7.1,0.02982,8904,4.2,7.2,0.03024
aes128rfid_144,16840,1277,1316,5304,4.2,7.2,0.03024,10008,4.2,6.8,0.02856
aes128rfid_160,16840,1309,1348,5880,4.2,7.1,0.02982,11104,4.2,7.1,0.02982
aes128rfid_176,16840,1341,1380,6448,4.2,7.0,0.029400000000000003,12200,4.2,7.2,0.03024
aes128rfid_192,16840,1373,1412,7028,4.2,7.2,0.03024,13292,4.2,7.4,0.031080000000000003
aes128rfid_208,16840,1405,1444,7596,4.2,7.6,0.031920000000000004,14388,4.2,7.1,0.02982
aes128rfid_224,16840,1437,1476,8172,4.2,7.1,0.02982,15484,4.2,7.1,0.02982
aes128rfid_240,16840,1469,1508,8740,4.2,7.2,0.03024,16580,4.2,6.8,0.02856
aes128rfid_256,16836,1501,1540,9320,4.2,7.2,0.03024,17688,4.2,7.3,0.030660000000000003
aes128rfid_272,16680,1533,1603,9896,4.2,7.2,0.03024,18752,4.2,7.2,0.03024
aes128rfid_288,16680,1565,1635,10464,4.2,7.2,0.03024,19844,4.2,7.1,0.02982
aes128rfid_304,16680,1597,,,,,,,,,
