file_name,byte_size,flash_usage,ram_usage,memory_usage,encryption_time,encryption_voltage,encryption_current,encryption_power,decryption_time,decryption_voltage,decryption_current,decryption_power
aes128rfid_16,16,16612.0,1021.0,1058.0,712.8,4.2,7.18,0.030156,1244.0,4.198,7.18,0.0301418
aes128rfid_32,32,16682.0,1053.0,1090.0,1288.8,4.2,7.140000000000001,0.0299879999999999,2332.0,4.2,7.040000000000001,0.029568
aes128rfid_48,48,16708.0,1085.0,1124.0,1864.8,4.2,7.140000000000001,0.0299879999999999,3431.2,4.2,7.18,0.030156
aes128rfid_64,64,16748.0,1117.0,1156.0,2437.6,4.2,7.2,0.03024,4533.6,4.2,7.139999999999999,0.0299879999999999
aes128rfid_80,80,16748.0,1149.0,1188.0,3013.6,4.2,7.12,0.0299039999999999,5620.0,4.2,7.140000000000001,0.029988
aes128rfid_96,96,16748.0,1181.0,1220.0,3584.0,4.2,7.1,0.0298199999999999,6721.6,4.2,7.18,0.030156
aes128rfid_112,112,16804.0,1213.0,1252.0,4157.6,4.2,7.140000000000001,0.0299879999999999,7816.0,4.2,7.040000000000001,0.029568
aes128rfid_128,128,16838.0,1245.0,1284.0,4728.0,4.2,7.18,0.030156,8906.4,4.2,7.12,0.0299039999999999
aes128rfid_144,144,16840.0,1277.0,1316.0,5306.4,4.2,7.2,0.03024,10008.0,4.2,7.1,0.02982
aes128rfid_160,160,16840.0,1309.0,1348.0,5877.6,4.2,7.1,0.02982,11104.0,4.2,7.139999999999999,0.0299879999999999
aes128rfid_176,176,16840.0,1341.0,1380.0,6448.0,4.2,7.1,0.0298199999999999,12200.0,4.2,7.080000000000001,0.0297359999999999
aes128rfid_192,192,16840.0,1373.0,1412.0,7025.6,4.2,7.1800000000000015,0.030156,13292.0,4.2,7.220000000000001,0.030324
aes128rfid_208,208,16840.0,1405.0,1444.0,7596.0,4.2,7.24,0.030408,14388.0,4.2,7.1,0.02982
aes128rfid_224,224,16840.0,1437.0,1476.0,8172.0,4.2,7.18,0.030156,15484.0,4.198,7.12,0.0298899999999999
aes128rfid_240,240,16840.0,1469.0,1508.0,8742.4,4.2,7.239999999999999,0.030408,16578.4,4.2,7.139999999999999,0.0299879999999999
aes128rfid_256,256,16836.0,1501.0,1540.0,9317.6,4.2,7.2,0.03024,17685.6,4.2,7.24,0.030408
aes128rfid_272,272,16680.0,1533.0,1603.0,9896.0,4.2,7.220000000000001,0.0303239999999999,18752.0,4.2,7.1,0.02982
aes128rfid_288,288,16680.0,1565.0,1635.0,10462.4,4.2,7.18,0.030156,19844.0,4.2,7.140000000000001,0.0299879999999999
